Site number,Site name,Province,Latitude,Longitude,Drainage region ID,Land use category,Tested substances,Core site?,Sampling period,Category,Report year,Site link,Site details
00BR01AK0157,"Saint John River below Upper Queensbury, Rte 105",New Brunswick,45.979,-67.17616,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AK0157&GoCTemplateCulture=en-CA
"
00BR01AK0158,"Saint John River near Northampton, Rte 105",New Brunswick,46.077835,-67.54885,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AK0158&GoCTemplateCulture=en-CA
"
00BR01AK0159,"Saint John River below Mactaquac Dam, Rte 102",New Brunswick,45.958916,-66.82669,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AK0159&GoCTemplateCulture=en-CA
"
00BR01AK0191,Keswick River below Burtis Corner,New Brunswick,46.03011,-66.8352,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AK0191&GoCTemplateCulture=en-CA
"
00BR01AL0036,"Nashwaak River above Marysville Bridge, Rte 8",New Brunswick,45.979305,-66.59096,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AL0036&GoCTemplateCulture=en-CA
"
00BR01AM0002,Oromocto River above Bridge Rte 102,New Brunswick,45.85011,-66.51608,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AM0002&GoCTemplateCulture=en-CA
"
00BR01AO0105,"Saint John River Lower Burton, Rte 102",New Brunswick,45.8775,-66.3738,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AO0105&GoCTemplateCulture=en-CA
"
00BR01AP0021,"Hammond River above French Village Bridge, Rte 860",New Brunswick,45.430332,-65.88618,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0021&GoCTemplateCulture=en-CA
"
00BR01AP0067,"Saint John River Evandale, Rte 102",New Brunswick,45.592636,-66.02695,23,Mining,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0067&GoCTemplateCulture=en-CA
"
00BR01AP0151,South Branch Kennebecasis River above Penobsquis Bridge,New Brunswick,45.776592,-65.37104,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0151&GoCTemplateCulture=en-CA
"
00BR01AP0175,"Canaan River below Bridge, Rte 112",New Brunswick,46.072838,-65.36494,23,Mining,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0175&GoCTemplateCulture=en-CA
"
00BR01AP0195,"Canaan River near Canaan Rapids, Rte 112",New Brunswick,45.935417,-65.74844,23,Mining,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0195&GoCTemplateCulture=en-CA
"
00BR01AP0241,Kennebecasis River above Bloomfield Bridge,New Brunswick,45.580086,-65.75666,23,Low Agriculture,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0241&GoCTemplateCulture=en-CA
"
00BR01AP0308,"Kennebecasis River above Five Points Bridge, Rte 1",New Brunswick,45.807,-65.291,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AP0308&GoCTemplateCulture=en-CA
"
00BR01AQ0003,"Lepreau River above Bridge, Rte 780",New Brunswick,45.16968,-66.46797,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AQ0003&GoCTemplateCulture=en-CA
"
00BR01AQ0024,"Magaguadavic River St. George, Rte 770",New Brunswick,45.134,-66.824,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AQ0024&GoCTemplateCulture=en-CA
"
00BR01AR0021,Digdeguash River near Domonion Hill,New Brunswick,45.19163,-66.95699,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AR0021&GoCTemplateCulture=en-CA
"
00BR01AR0067,"St. Croix River below St. Croix Bridge, Rte 4",New Brunswick,45.567688,-67.42748,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AR0067&GoCTemplateCulture=en-CA
"
00BR01AR0092,"St. Croix River above Milltown Bridge, Rte 170",New Brunswick,45.17,-67.297,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AR0092&GoCTemplateCulture=en-CA
"
00BR01BA0030,"Restigouche River below Montgomery Bridge, Rte 265",New Brunswick,47.662323,-67.49287,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BA0030&GoCTemplateCulture=en-CA
"
00BR01BB0002,Kedgwick River near mouth,New Brunswick,47.671192,-67.50939,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BB0002&GoCTemplateCulture=en-CA
"
00BR01BE0029,"Upsalquitch River above Robinsonville Bridge, Rte 17",New Brunswick,47.832,-66.886,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BE0029&GoCTemplateCulture=en-CA
"
00BR01BJ0057,"Restigouche River Rafting Grounds, Rte 134",New Brunswick,47.90811,-66.949135,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BJ0057&GoCTemplateCulture=en-CA
"
00BR01BJ0065,"Jacquet River above Bridge,  Rte 11",New Brunswick,47.89912,-66.02556,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BJ0065&GoCTemplateCulture=en-CA
"
00BR01BJ0071,"Nigadoo River above Bridge, Rte 134",New Brunswick,47.746223,-65.71567,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BJ0071&GoCTemplateCulture=en-CA
"
00BR01BK0042,"Nepisiguit River above Bridge, Rte 360",New Brunswick,47.441,-65.706,24,Mining,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BK0042&GoCTemplateCulture=en-CA
"
00BR01BL0020,"Pokemouche River above Bridge,  Rte 135",New Brunswick,47.636166,-65.091415,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BL0020&GoCTemplateCulture=en-CA
"
00BR01BL0037,"Tabusintac River above Bridge, Rte 8",New Brunswick,47.347942,-65.43211,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BL0037&GoCTemplateCulture=en-CA
"
00BR01BM0005,Southwest Miramichi River above Porter Brook Bridge,New Brunswick,46.48397,-66.481445,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BM0005&GoCTemplateCulture=en-CA
"
00BR01BN0001,Cains River mouth,New Brunswick,46.66497,-65.77541,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BN0001&GoCTemplateCulture=en-CA
"
00BR01BO0007,"Southwest Miramichi River below Quarryville Bridge, Rte 108",New Brunswick,46.829693,-65.78547,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BO0007&GoCTemplateCulture=en-CA
"
00BR01BO0008,"Renous River below Renous Bridge, Rte 8",New Brunswick,46.816,-65.795,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BO0008&GoCTemplateCulture=en-CA
"
00BR01BO0041,"Southwest Miramichi River above Blackville Bridge, Rte 118",New Brunswick,46.733387,-65.822975,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BO0041&GoCTemplateCulture=en-CA
"
00BR01BP0001,Little Southwest Miramichi River at Lyttleton Bridge,New Brunswick,46.935944,-65.90872,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,NULL,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BP0001&GoCTemplateCulture=en-CA
"
00BR01BQ0012,"Northwest Miramichi River near Exmoor above Bridge, Rte 425",New Brunswick,46.9665,-65.83025,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BQ0012&GoCTemplateCulture=en-CA
"
00BR01BQ0020,"Northwest Miramichi River below Wayerton Bridge, Rte 430",New Brunswick,47.134,-65.834,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BQ0020&GoCTemplateCulture=en-CA
"
00BR01BS0039,"Buctouche River above Bridge, Rte 490",New Brunswick,46.371056,-64.94341,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BS0039&GoCTemplateCulture=en-CA
"
00BR01BS0085,"Richibucto River above Smiths Corner Bridge, Rte 116",New Brunswick,46.51,-65.163,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BS0085&GoCTemplateCulture=en-CA
"
00BR01BU0176,"Petitcodiac River above Salisbury Bridge, Rte 112",New Brunswick,46.02121,-65.03462,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BU0176&GoCTemplateCulture=en-CA
"
00BR01BU0209,"Petitcodiac River, Bridge below Petitcodiac",New Brunswick,45.946762,-65.167366,24,Low Agriculture,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BU0209&GoCTemplateCulture=en-CA
"
00BR01BV0024,Big Salmon River mouth,New Brunswick,45.42299,-65.40989,24,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01BV0024&GoCTemplateCulture=en-CA
"
02330001,Etchemin au Pont-Route 132 à Saint-Romuald,Quebec,46.76014,-71.22821,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Marginal,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0602330001&GoCTemplateCulture=en-CA
"
02340033,"Chaudière à 5, 6 km De l'Embouchureà Charny (Uf)",Quebec,46.701958,-71.280754,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0602340033&GoCTemplateCulture=en-CA
"
02400004,Bécancour au Pont-Route 132 à Bécancour,Quebec,46.3527,-72.439095,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0602400004&GoCTemplateCulture=en-CA
"
03005702502,Nottawasaga River,Ontario,44.47547,-80.00713,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.nvca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0603005702502&GoCTemplateCulture=en-CA
"
03020031,Saint-François au Pont-Route 132 à Pierreville,Quebec,46.067554,-72.815674,21,"Populated,  Agriculture,  and Mining","Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0603020031&GoCTemplateCulture=en-CA
"
03030023,Yamaska au Pont-Route à Yamaska,Quebec,46.004986,-72.91114,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Poor,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0603030023&GoCTemplateCulture=en-CA
"
03040009,"Richelieu à 1, 6 km De l'Embouchure à Sorel (Uf)",Quebec,46.015965,-73.12905,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0603040009&GoCTemplateCulture=en-CA
"
03090001,Châteauguay au Pont-Route 205 au Nord De Sainte-Martine,Quebec,45.286022,-73.80227,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Marginal,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0603090001&GoCTemplateCulture=en-CA
"
03110003,Saint-Louis au Pont-Route Entre le Rang Sainte-Anne et le Chemin Saint-Louis,Quebec,45.27076,-73.89565,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Marginal,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0603110003&GoCTemplateCulture=en-CA
"
04001304702,Thames River,Ontario,42.93475,-81.42151,19,"Populated,  Agriculture,  and Mining","Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Marginal,2019,http://www.thamesriver.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0604001304702&GoCTemplateCulture=en-CA
"
04002701702,Sydenham River,Ontario,42.59179,-82.38763,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.scrca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0604002701702&GoCTemplateCulture=en-CA
"
04010002,Du Nord au Pont-Route 344 à Saint-André-Est,Quebec,45.56262,-74.33673,20,Populated,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604010002&GoCTemplateCulture=en-CA
"
04040001,De la Petite Nation au Pont-Route 148 à l'Ouest De Plaisance,Quebec,45.60503,-75.127235,20,Remote,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604040001&GoCTemplateCulture=en-CA
"
04060004,Du Lièvre au Pont-Route à Buckingham,Quebec,45.58588,-75.41884,20,Mining,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Good,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604060004&GoCTemplateCulture=en-CA
"
04080003,Gatineau au Pont-Route en Amont du Ruisseau Chelsea au Nord De Gatineau,Quebec,45.486984,-75.7489,20,Remote,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Good,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604080003&GoCTemplateCulture=en-CA
"
